county,office,district,party,candidate,votes
Bernalillo,PRESIDENT OF THE UNITED STATES,,DEMOCRAT,BARACK OBAMA,40486
Catron,PRESIDENT OF THE UNITED STATES,,DEMOCRAT,BARACK OBAMA,175
Chaves,PRESIDENT OF THE UNITED STATES,,DEMOCRAT,BARACK OBAMA,1146
Cibola,PRESIDENT OF THE UNITED STATES,,DEMOCRAT,BARACK OBAMA,2591
Colfax,PRESIDENT OF THE UNITED STATES,,DEMOCRAT,BARACK OBAMA,1297
Curry,PRESIDENT OF THE UNITED STATES,,DEMOCRAT,BARACK OBAMA,680
De Baca,PRESIDENT OF THE UNITED STATES,,DEMOCRAT,BARACK OBAMA,107
Dona Ana,PRESIDENT OF THE UNITED STATES,,DEMOCRAT,BARACK OBAMA,6348
Eddy,PRESIDENT OF THE UNITED STATES,,DEMOCRAT,BARACK OBAMA,1207
Grant,PRESIDENT OF THE UNITED STATES,,DEMOCRAT,BARACK OBAMA,2698
Guadalupe,PRESIDENT OF THE UNITED STATES,,DEMOCRAT,BARACK OBAMA,967
Harding,PRESIDENT OF THE UNITED STATES,,DEMOCRAT,BARACK OBAMA,143
Hidalgo,PRESIDENT OF THE UNITED STATES,,DEMOCRAT,BARACK OBAMA,643
Lea,PRESIDENT OF THE UNITED STATES,,DEMOCRAT,BARACK OBAMA,755
Lincoln,PRESIDENT OF THE UNITED STATES,,DEMOCRAT,BARACK OBAMA,539
Los Alamos,PRESIDENT OF THE UNITED STATES,,DEMOCRAT,BARACK OBAMA,1331
Luna,PRESIDENT OF THE UNITED STATES,,DEMOCRAT,BARACK OBAMA,1204
McKinley,PRESIDENT OF THE UNITED STATES,,DEMOCRAT,BARACK OBAMA,5574
Mora,PRESIDENT OF THE UNITED STATES,,DEMOCRAT,BARACK OBAMA,1399
Otero,PRESIDENT OF THE UNITED STATES,,DEMOCRAT,BARACK OBAMA,1455
Quay,PRESIDENT OF THE UNITED STATES,,DEMOCRAT,BARACK OBAMA,635
Rio Arriba,PRESIDENT OF THE UNITED STATES,,DEMOCRAT,BARACK OBAMA,6428
Roosevelt,PRESIDENT OF THE UNITED STATES,,DEMOCRAT,BARACK OBAMA,273
San Juan,PRESIDENT OF THE UNITED STATES,,DEMOCRAT,BARACK OBAMA,7615
San Miguel,PRESIDENT OF THE UNITED STATES,,DEMOCRAT,BARACK OBAMA,3888
Sandoval,PRESIDENT OF THE UNITED STATES,,DEMOCRAT,BARACK OBAMA,4526
Santa Fe,PRESIDENT OF THE UNITED STATES,,DEMOCRAT,BARACK OBAMA,17043
Sierra,PRESIDENT OF THE UNITED STATES,,DEMOCRAT,BARACK OBAMA,536
Socorro,PRESIDENT OF THE UNITED STATES,,DEMOCRAT,BARACK OBAMA,935
Taos,PRESIDENT OF THE UNITED STATES,,DEMOCRAT,BARACK OBAMA,5572
Torrance,PRESIDENT OF THE UNITED STATES,,DEMOCRAT,BARACK OBAMA,792
Union,PRESIDENT OF THE UNITED STATES,,DEMOCRAT,BARACK OBAMA,316
Valencia,PRESIDENT OF THE UNITED STATES,,DEMOCRAT,BARACK OBAMA,3654
,PRESIDENT OF THE UNITED STATES,,DEMOCRAT,BARACK OBAMA,122958
Bernalillo,UNITED STATES SENATOR,,DEMOCRAT,MARTIN T. HEINRICH,32707
Catron,UNITED STATES SENATOR,,DEMOCRAT,MARTIN T. HEINRICH,143
Chaves,UNITED STATES SENATOR,,DEMOCRAT,MARTIN T. HEINRICH,872
Cibola,UNITED STATES SENATOR,,DEMOCRAT,MARTIN T. HEINRICH,1575
Colfax,UNITED STATES SENATOR,,DEMOCRAT,MARTIN T. HEINRICH,488
Curry,UNITED STATES SENATOR,,DEMOCRAT,MARTIN T. HEINRICH,728
De Baca,UNITED STATES SENATOR,,DEMOCRAT,MARTIN T. HEINRICH,108
