candidate,party
ALAN M. WEBBER,Democratic
ALFRED GORDON GLASS JR,Democratic
ALLEN E. WEH,Republican
ALONZO BALDONADO,Republican
ANDREW ANDY NUNEZ,Republican
ANDREW J BARRERAS,Democratic
"ANTONIO ""MOE"" MAESTAS",Democratic
AUBREY DUNN,Republican
BEALQUIN BILL GOMEZ,Democratic
BEN R. LUJAN,Democratic
BENGIE REGENSBERG,Democratic
BETTY J BISHOP,Republican
BILL MCCAMLEY,Democratic
BOB WOOLEY,Republican
BRIAN F. EGOLF JR.,Democratic
CANDY SPENCE EZZELL,Republican
CARL TRUJILLO,Democratic
CATHERINE A. BEGAYE,Democratic
CATHRYNN N BROWN,Republican
CHARLES LONG,Democratic
CHRISTIAN LIRA,Democratic
CHRISTINE TRUJILLO,Democratic
CHRISTY K THOMAS,Democratic
CONRAD D. JAMES,Republican
DAVID EDWARD ADKINS,Republican
DAVID KALE CLEMENTS,Republican
DAVID M GALLEGOS,Republican
DEBBIE A. RODELLA,Democratic
DEBORAH A ARMSTRONG,Democratic
DEBRA A HAALAND,Democratic
DELL P. WASHINGTON,Democratic
DENNIS J ROCH,Republican
DIANNA J. DURAN,Republican
DIANNE HAMILTON,Republican
DON TRIPP,Republican
DONA G. IRWIN,Democratic
DONNA I TILLMAN,Democratic
DOREEN W JOHNSON,Democratic
DOREEN Y GALLEGOS,Democratic
ELISEO LEE ALCON,Democratic
ELIZABETH L. THOMSON,Democratic
EMILY A KANE,Democratic
ERIK GALE HAWKES,Democratic
FRANK A OTERO,Democratic
G ANDRES ROMERO,Democratic
GAIL CHASEY,Democratic
GARY K KING,Democratic
GEOFF RODGERS,Republican
GEORGE DODGE JR,Democratic
GEORGENE LOUIS,Democratic
HARRISON TODACHEENE,Democratic
HECTOR BALDERAS,Democratic
HOWIE C. MORALES,Democratic
JAMES E. SMITH,Republican
JAMES G TOWNSEND,Republican
JAMES MITCHELL DINES,Republican
JAMES R GALLEGOS,Republican
JAMES R. J. STRICKLER,Republican
JAMES R. MADALENA,Democratic
JANE E POWDRELL- CULBERT,Republican
JASON CARL HARPER,Republican
JAVIER I MARTINEZ,Democratic
JEFF STEINBORN,Democratic
JEFFERSON L. BYRD,Republican
JIM D DANNER,Democratic
JIM L LOWRANCE,Republican
JIM R TRUJILLO,Democratic
JIMMIE C HALL,Republican
JOANNE J FERRARY,Democratic
JOHN A SANCHEZ,Republican
JOHN GABRIEL RIVERA JR.,Democratic
JOHN L. ZIMMERMAN,Republican
JOHN M WALLACE,Democratic
JOHN WERTHEIM,Democratic
JOHNNY F LUÉVANO JR.,Republican
JORDON L JOHNSON,Democratic
JOSH R ANDERSON,Democratic
KAREN S BAYLESS,Republican
KELLY K FAJARDO,Republican
LARRY R SCOTT,Republican
LAWRENCE D. RAEL,Democratic
LINDA M. LOPEZ,Democratic
LINDA SANCHEZ ALLISON,Democratic
LORENZO A. LARRAÑAGA,Republican
LORENZO J. PINO,Democratic
LOUIS TAFOYA,Republican
"LUCIANO ""LUCKY"" VARELA",Democratic
MAGGIE TOULOUSE OLIVER,Democratic
MARIAELENA JOHNSON,Democratic
MARIANNE COSTELLO,Republican
MARIO J MARTINEZ (write in),Democratic
MARK D ARMIJO,Democratic
MARY HELEN GARCIA,Democratic
MATTHEW MCQUEEN,Democratic
MICHAEL H FRESE,Republican
MICHELLE LUJAN GRISHAM,Democratic
MIGUEL P GARCIA,Democratic
MIMI STEWART,Democratic
MONICA C YOUNGBLOOD,Republican
NATE GENTRY,Republican
NATHAN E THOMPSON,Democratic
NEAL L HOOKS,Republican
NICK L SALAZAR,Democratic
NORA ESPINOZA,Republican
OLIN S CLAWSON,Democratic
ORLANDO J. LUCERO,Democratic
PAM V. RICHARDSON,Republican
"PATRICIA ""PATTY"" A. LUNDSTROM",Democratic
PATRICIA A. ROYBAL CABALLERO,Democratic
PATRICIO R RUILOBA,Democratic
PAUL A PACHECO,Republican
PAUL C BANDY,Republican
PHILLIP GEORGE CHAVEZ (write in),Democratic
PHILLIP M ARCHULETA,Democratic
RANDAL S CROWDER,Republican
RANDY L SAAVEDRA,Democratic
RAY BENNETT POWELL,Democratic
RICHARD D MASTIN,Democratic
RICHARD D VIGIL,Democratic
RICHARD G PRIEM,Republican
RICK J LOPEZ,Republican
RICKY L LITTLE,Republican
ROBERT BLANCH,Democratic
ROBERT J ARAGON,Republican
ROBERT M. COFFEY JR,Democratic
ROBERT W. CHAVEZ,Republican
"ROBERTO ""BOBBY"" JESSE GONZALES",Democratic
RODNEY D. MONTOYA,Republican
RODOLPHO S MARTINEZ,Democratic
RONNIE MARTINEZ,Democratic
"ROXANNE ""ROCKY"" LARA",Democratic
SARAH MAESTAS BARNES,Republican
SHARON CLAHCHISCHILLIAGE,Republican
SHERYL M WILLIAMS STAPLETON,Democratic
SISTO A ABEYTA,Democratic
STEPHANIE GARCIA RICHARD,Democratic
STEVE PEARCE,Republican
SUSAN M. RIEDEL,Republican
SUSANA MARTINEZ,Republican
TERESA K.E. SMITH DE CHERIF,Democratic
TERRY D. FORTENBERRY,Democratic
TERRY H MCMILLAN,Republican
THOMAS ANTHONY ANDERSON,Republican
TIM EICHENBERG,Democratic
TIM LEWIS,Republican
TIMOTHY M KELLER,Democratic
TOM BILL BLACK,Republican
TOM UDALL,Democratic
TOMAS E SALAZAR,Democratic
VICKIE S. PEREA,Republican
VINCENT P. CHIRAVALLE,Republican
W. KEN MARTINEZ,Democratic
WADE J LOPEZ,Republican
WILLIAM R REHM,Republican
YOLANDA E AHASTEEN-AZUA,Democratic
YVETTE HERRELL,Republican
ZACH J COOK,Republican
SUSANA MARTINEZ - JOHN A SANCHEZ,Republican
GARY K KING - DEBRA A HAALAND,Democratic
JACK A MCGRANN (write in),Republican
THOMAS F HOOK (write in),Republican
ROBERT A. SCHILLER,Independent
WILLIAM B PRATT,Independent
SANDRA D JEFF (write in),Democratic
SHELLY C CHIMONI (write in),Democratic
