county,office,district,party,candidate,votes
Santa Fe,PRESIDENT OF THE UNITED STATES,,GREEN,RALPH NADER and WINONA LA DUKE,3215
Santa Fe,PRESIDENT OF THE UNITED STATES,,DEMOCRAT,AL GORE and JOE LIEBERMAN,32017
Santa Fe,PRESIDENT OF THE UNITED STATES,,REPUBLICAN,GEORGE W. BUSH and DICK CHENEY,13974
Santa Fe,PRESIDENT OF THE UNITED STATES,,LIBERTARIAN,HARRY BROWNE and ART OLIVIER,147
Santa Fe,PRESIDENT OF THE UNITED STATES,,CONSTITUTION,HOWARD PHILLIPSand J. CURTIS FRAZIER,16
Santa Fe,PRESIDENT OF THE UNITED STATES,,NATURAL LAW,JOHN HAGELINand NAT GOLDHABER,37
Santa Fe,PRESIDENT OF THE UNITED STATES,,REFORM,PAT BUCHANAN and EZOLA FOSTER,65
Santa Fe,UNITED STATES SENATOR,,DEMOCRAT,JEFF BINGAMAN,37045
Santa Fe,UNITED STATES SENATOR,,REPUBLICAN,BILL REDMOND,11507
Santa Fe,UNITED STATES SENATOR,,Write-In (REP),ORLIN G. COLE,29
Santa Fe,UNITED STATES REPRESENTATIVE,1,GREEN,DANIEL KERLINSKY,96
Santa Fe,UNITED STATES REPRESENTATIVE,1,DEMOCRAT,JOHN J. KELLY,333
Santa Fe,UNITED STATES REPRESENTATIVE,1,REPUBLICAN,HEATHER A. WILSON,1182
Santa Fe,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,TOM UDALL,37165
Santa Fe,UNITED STATES REPRESENTATIVE,3,REPUBLICAN,LISA L. LUTZ,9622
Santa Fe,JUDGE OF THE COURT OF APPEALS,,DEMOCRAT,MANUEL TIJERINA,26598
Santa Fe,JUDGE OF THE COURT OF APPEALS,,REPUBLICAN,JONATHAN B. SUTIN,19387
Santa Fe,JUDGE OF THE COURT OF APPEALS,,DEMOCRAT,CYNTHIA A. FRY,29587
Santa Fe,JUDGE OF THE COURT OF APPEALS,,REPUBLICAN,RODERICK T. KENNEDY,16155
Santa Fe,JUDGE OF THE COURT OF APPEALS,,GREEN,MARVIN H. GLADSTONE,7990
Santa Fe,JUDGE OF THE COURT OF APPEALS,,DEMOCRAT,IRA ROBINSON,19393
