county,office,district,party,candidate,votes
Bernalillo,UNITED STATES REPRESENTATIVE,1,DEMOCRAT,MARTIN T. HEINRICH,28473
San Juan,UNITED STATES REPRESENTATIVE,1,DEMOCRAT,MARTIN T. HEINRICH,1334
Santa Fe,UNITED STATES REPRESENTATIVE,1,DEMOCRAT,MARTIN T. HEINRICH,130
Torrance,UNITED STATES REPRESENTATIVE,1,DEMOCRAT,MARTIN T. HEINRICH,865
Valencia,UNITED STATES REPRESENTATIVE,1,DEMOCRAT,MARTIN T. HEINRICH,1371
,UNITED STATES REPRESENTATIVE,1,DEMOCRAT,MARTIN T. HEINRICH,32173
Bernalillo,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,HARRY TEAGUE,136
Catron,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,HARRY TEAGUE,190
Chaves,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,HARRY TEAGUE,1239
Cibola,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,HARRY TEAGUE,2370
De Baca,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,HARRY TEAGUE,249
Dona Ana,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,HARRY TEAGUE,5126
Eddy,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,HARRY TEAGUE,1854
Grant,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,HARRY TEAGUE,3577
Guadalupe,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,HARRY TEAGUE,1197
Hidalgo,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,HARRY TEAGUE,608
Lea,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,HARRY TEAGUE,1054
Lincoln,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,HARRY TEAGUE,458
Luna,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,HARRY TEAGUE,1274
McKinley,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,HARRY TEAGUE,139
Otero,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,HARRY TEAGUE,1796
Sierra,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,HARRY TEAGUE,556
Socorro,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,HARRY TEAGUE,1285
Valencia,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,HARRY TEAGUE,3213
,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,HARRY TEAGUE,26321
Bernalillo,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BEN R. LUJAN,651
Colfax,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BEN R. LUJAN,1566
Curry,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BEN R. LUJAN,920
Harding,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BEN R. LUJAN,123
Los Alamos,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BEN R. LUJAN,1209
McKinley,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BEN R. LUJAN,5000
Mora,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BEN R. LUJAN,1296
Quay,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BEN R. LUJAN,566
Rio Arriba,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BEN R. LUJAN,5927
Roosevelt,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BEN R. LUJAN,386
San Juan,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BEN R. LUJAN,3735
San Miguel,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BEN R. LUJAN,3528
Sandoval,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BEN R. LUJAN,4044
Santa Fe,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BEN R. LUJAN,12632
Taos,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BEN R. LUJAN,3054
Union,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BEN R. LUJAN,330
,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BEN R. LUJAN,44967
Bernalillo,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,DIANE D. DENISH,31032
Catron,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,DIANE D. DENISH,179
Chaves,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,DIANE D. DENISH,1315
Cibola,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,DIANE D. DENISH,2345
Colfax,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,DIANE D. DENISH,1575
Curry,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,DIANE D. DENISH,965
De Baca,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,DIANE D. DENISH,269
Dona Ana,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,DIANE D. DENISH,5570
Eddy,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,DIANE D. DENISH,1988
Grant,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,DIANE D. DENISH,3910
Guadalupe,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,DIANE D. DENISH,1194
Harding,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,DIANE D. DENISH,131
Hidalgo,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,DIANE D. DENISH,595
Lea,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,DIANE D. DENISH,1155
Lincoln,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,DIANE D. DENISH,535
Los Alamos,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,DIANE D. DENISH,1329
Luna,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,DIANE D. DENISH,1305
McKinley,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,DIANE D. DENISH,5354
Mora,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,DIANE D. DENISH,1303
Otero,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,DIANE D. DENISH,1773
Quay,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,DIANE D. DENISH,584
Rio Arriba,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,DIANE D. DENISH,5886
Roosevelt,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,DIANE D. DENISH,434
San Juan,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,DIANE D. DENISH,5231
San Miguel,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,DIANE D. DENISH,3559
Sandoval,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,DIANE D. DENISH,4119
Santa Fe,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,DIANE D. DENISH,13553
Sierra,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,DIANE D. DENISH,594
Socorro,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,DIANE D. DENISH,1391
Taos,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,DIANE D. DENISH,3092
Torrance,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,DIANE D. DENISH,935
Union,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,DIANE D. DENISH,360
Valencia,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,DIANE D. DENISH,4742
,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,DIANE D. DENISH,108302
Bernalillo,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BILLY J. DRIGGS(Write-In),105
Catron,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BILLY J. DRIGGS(Write-In),4
Cibola,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BILLY J. DRIGGS(Write-In),57
Colfax,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BILLY J. DRIGGS(Write-In),20
Curry,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BILLY J. DRIGGS(Write-In),30
De Baca,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BILLY J. DRIGGS(Write-In),2
Dona Ana,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BILLY J. DRIGGS(Write-In),7
Eddy,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BILLY J. DRIGGS(Write-In),30
Grant,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BILLY J. DRIGGS(Write-In),59
Guadalupe,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BILLY J. DRIGGS(Write-In),30
Hidalgo,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BILLY J. DRIGGS(Write-In),3
Lea,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BILLY J. DRIGGS(Write-In),11
Lincoln,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BILLY J. DRIGGS(Write-In),3
Luna,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BILLY J. DRIGGS(Write-In),2
McKinley,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BILLY J. DRIGGS(Write-In),130
Mora,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BILLY J. DRIGGS(Write-In),19
Quay,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BILLY J. DRIGGS(Write-In),11
Rio Arriba,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BILLY J. DRIGGS(Write-In),45
Roosevelt,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BILLY J. DRIGGS(Write-In),1
San Juan,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BILLY J. DRIGGS(Write-In),147
