county,office,district,party,candidate,votes
Santa Fe,UNITED STATES SENATOR,,DEMOCRAT,GLORIA TRISTANI,11868
Santa Fe,UNITED STATES SENATOR,,DEMOCRAT,FRANCESCA LOBATO,3977
Santa Fe,UNITED STATES SENATOR,,Write-In (DEM),DON E. DURHAM,3
Santa Fe,UNITED STATES SENATOR,,REPUBLICAN,PETE V. DOMENICI,3637
Santa Fe,UNITED STATES SENATOR,,Write-In (REP),ORLIN G. COLE,4
Santa Fe,UNITED STATES REPRESENTATIVE ,1,DEMOCRAT,RICHARD M. ROMERO,139
Santa Fe,UNITED STATES REPRESENTATIVE ,1,REPUBLICAN,HEATHER A. WILSON,309
Santa Fe,UNITED STATES REPRESENTATIVE ,3,DEMOCRAT,TOM UDALL,15432
Santa Fe,UNITED STATES REPRESENTATIVE ,3,Write-In (REP),EDWARD F. TSYITEE,32
Santa Fe,GOVERNOR OF NEW MEXICO,,DEMOCRAT,BILL RICHARDSON,16170
Santa Fe,GOVERNOR OF NEW MEXICO,,Write-In (DEM),BENJAMIN E. (MIKE) NALLEY,18
Santa Fe,GOVERNOR OF NEW MEXICO,,REPUBLICAN,JOHN A. SANCHEZ,2372
Santa Fe,GOVERNOR OF NEW MEXICO,,REPUBLICAN,WALTER D. BRADLEY,1070
Santa Fe,GOVERNOR OF NEW MEXICO,,REPUBLICAN,GILBERT S. BACA,77
Santa Fe,GOVERNOR OF NEW MEXICO,,REPUBLICAN,ROBERT M. BURPO,146
Santa Fe,LIEUTENANT GOVERNOR,,DEMOCRAT,DIANE D. DENISH,9674
Santa Fe,LIEUTENANT GOVERNOR,,DEMOCRAT,JERRY SANDEL,7352
Santa Fe,LIEUTENANT GOVERNOR,,REPUBLICAN,ROD ADAIR,1079
Santa Fe,LIEUTENANT GOVERNOR,,REPUBLICAN,JUDY VANDERSTAR RUSSELL,1244
Santa Fe,LIEUTENANT GOVERNOR,,REPUBLICAN,WILLIAM F. DAVIS,1042
Santa Fe,SECRETARY OF STATE,,DEMOCRAT,REBECCA D. VIGIL-GIRON,14793
Santa Fe,SECRETARY OF STATE,,REPUBLICAN,SHARON CLAHCHISCHILLIAGE,2962
Santa Fe,STATE AUDITOR,,DEMOCRAT,DOMINGO P. MARTINEZ,13755
Santa Fe,STATE AUDITOR,,REPUBLICAN,TOM BENAVIDES,2983
Santa Fe,STATE TREASURER,,DEMOCRAT,ROBERT E. VIGIL,6945
