county,office,district,party,candidate,votes
Santa Fe,UNITED STATES SENATOR,,REPUBLICAN,PETE V. DOMENICI,19072
Santa Fe,UNITED STATES SENATOR,,DEMOCRAT,GLORIA TRISTANI,21490
Santa Fe,UNITED STATES REPRESENTATIVE,1,REPUBLICAN,HEATHER A. WILSON,1059
Santa Fe,UNITED STATES REPRESENTATIVE,1,DEMOCRAT,RICHARD M. ROMERO,351
Santa Fe,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,TOM UDALL,31710
Santa Fe,GOVERNOR OF NEW MEXICO,,REPUBLICAN,JOHN A. SANCHEZ,9132
Santa Fe,GOVERNOR OF NEW MEXICO,,DEMOCRAT,BILL RICHARDSON,26803
Santa Fe,GOVERNOR OF NEW MEXICO,,GREEN,DAVID E. BACON,4754
Santa Fe,SECRETARY OF STATE,,REPUBLICAN,SHARON CLAHCHISCHILLIAGE,9499
Santa Fe,SECRETARY OF STATE,,DEMOCRAT,REBECCA D. VIGIL-GIRON,30099
Santa Fe,STATE AUDITOR,,REPUBLICAN,TOM BENAVIDES,11481
Santa Fe,STATE AUDITOR,,DEMOCRAT,DOMINGO P. MARTINEZ,26933
Santa Fe,STATE TREASURER,,DEMOCRAT,ROBERT E. VIGIL,29702
Santa Fe,ATTORNEY GENERAL,,REPUBLICAN,ROB PERRY,9085
Santa Fe,ATTORNEY GENERAL,,DEMOCRAT,PATRICIA A. MADRID,26913
Santa Fe,ATTORNEY GENERAL,,GREEN,ANN TYNER GLEASON,4401
Santa Fe,COMMISSIONER OF PUBLIC LANDS,,REPUBLICAN,PATRICK H. LYONS,14988
Santa Fe,COMMISSIONER OF PUBLIC LANDS,,DEMOCRAT,ART E. TRUJILLO,22212
Santa Fe,COMMISSIONER OF PUBLIC LANDS,,Write-In (GRN),SAM M. HITT,1688
Santa Fe,JUSTICE OF THE SUPREME COURT,,REPUBLICAN,PAUL D. BARBER,11936
Santa Fe,JUSTICE OF THE SUPREME COURT,,DEMOCRAT,RICHARD C. BOSSON,25816
Santa Fe,JUDGE OF THE COURT OF APPEALS,,REPUBLICAN,RODERICK T. KENNEDY,15145
Santa Fe,JUDGE OF THE COURT OF APPEALS,,DEMOCRAT,MANUEL TIJERINA,22811
Santa Fe,STATE REPRESENTATIVE,22,REPUBLICAN,RON GODBEY,1135
Santa Fe,STATE REPRESENTATIVE,22,DEMOCRAT,MARGARET PALUMBO,421
Santa Fe,STATE REPRESENTATIVE,40,DEMOCRAT,NICK L. SALAZAR,259
Santa Fe,STATE REPRESENTATIVE,43,REPUBLICAN,JEANNETTE O. WALLACE,382
Santa Fe,STATE REPRESENTATIVE,45,DEMOCRAT,PATSY G. TRUJILLO,4661
Santa Fe,STATE REPRESENTATIVE,46,DEMOCRAT,BEN LUJAN,6289
Santa Fe,STATE REPRESENTATIVE,47,REPUBLICAN,MICHELLE R. PARKER,3598
Santa Fe,STATE REPRESENTATIVE,47,DEMOCRAT,MAX COLL,7684
Santa Fe,STATE REPRESENTATIVE,48,DEMOCRAT,LUCIANO 'LUCKY' VARELA,5713
Santa Fe,STATE REPRESENTATIVE,48,GREEN,RICHARD J. LASS,2874
Santa Fe,STATE REPRESENTATIVE,50,DEMOCRAT,RHONDA S. KING,2154
Santa Fe,PUBLIC REGULATION COMMISSIONER,2,REPUBLICAN,DAVID W. KING,1850
Santa Fe,PUBLIC REGULATION COMMISSIONER,4,DEMOCRAT,LYNDA M. LOVEJOY,5161
Santa Fe,DISTRICT JUDGE,,DEMOCRAT,TIMOTHY L. GARCIA,29515
Santa Fe,DISTRICT MAGISTRATE,1,DEMOCRAT,BILL DIMAS,30122
Santa Fe,DISTRICT MAGISTRATE,2,REPUBLICAN,DENNIS J. MILLER,12665
Santa Fe,DISTRICT MAGISTRATE,2,DEMOCRAT,GEORGE ANAYA JR.,25501
Santa Fe,DISTRICT MAGISTRATE,3,DEMOCRAT,RICHARD M. 'BUZZY' PADILLA,29245
Santa Fe,COUNTY COMMISSIONER,1,DEMOCRAT,HARRY B. MONTOYA,6642
Santa Fe,COUNTY COMMISSIONER,3,DEMOCRAT,MIKE D. ANAYA,3492
Santa Fe,COUNTY ASSESSOR,,DEMOCRAT,BENITO J. MARTINEZ JR.,29425
